ID,Category
abkieurfrr.png,Sugar beet
ablzkpojla.png,Sugar beet
acmbgjflct.png,Loose Silky-bent
adescsxdfp.png,Small-flowered Cranesbill
aebszfphgi.png,Cleavers
aevkzicgby.png,Maize
afhcnytjtd.png,Loose Silky-bent
ahjnndkxft.png,Scentless Mayweed
ahoyeyvosg.png,Loose Silky-bent
aijmdaocym.png,Loose Silky-bent
aioqqhdshy.png,Fat Hen
ajjwrhipgh.png,Loose Silky-bent
amryqbnppa.png,Charlock
anwkfobyxc.png,Common Chickweed
anxwcympag.png,Cleavers
aongkovlzc.png,Maize
apjrnavrnr.png,Sugar beet
aqfxnypchp.png,Cleavers
aqmofrkcyj.png,Shepherds Purse
aquntyyesm.png,Loose Silky-bent
arfllebtop.png,Cleavers
arkzcnxddq.png,Scentless Mayweed
armpwctjip.png,Sugar beet
asgkdhflws.png,Loose Silky-bent
ashctxuyff.png,Sugar beet
askszyomlp.png,Maize
aslxbfyasd.png,Black-grass
atyfvoapnm.png,Small-flowered Cranesbill
aupdlpczgg.png,Black-grass
aupvdvgbuu.png,Charlock
axckzqattx.png,Common wheat
axxoixcquw.png,Small-flowered Cranesbill
axzjvqaozv.png,Fat Hen
ayygeapqbp.png,Common Chickweed
azlgnuwzcc.png,Scentless Mayweed
baygcbmkbf.png,Common wheat
bbpltyfcqs.png,Common Chickweed
bbtaboqkyy.png,Sugar beet
bcftvziwoc.png,Scentless Mayweed
bcgxgybctb.png,Scentless Mayweed
bchuxgnggd.png,Loose Silky-bent
bddyvdvkgo.png,Loose Silky-bent
bdhgrkrunr.png,Shepherds Purse
bdyxhybzcr.png,Common Chickweed
behrxwzueb.png,Loose Silky-bent
beusvbawct.png,Charlock
bffevstjkr.png,Charlock
bfgtphhmiu.png,Loose Silky-bent
bfjhnakhat.png,Small-flowered Cranesbill
bfumdovrsj.png,Fat Hen
bfuqwfmhws.png,Charlock
bidalxlwys.png,Fat Hen
biezxpjdmm.png,Scentless Mayweed
biffqofsuo.png,Loose Silky-bent
bivrywmrag.png,Fat Hen
biwpjwytdz.png,Loose Silky-bent
bjogjvvgoo.png,Loose Silky-bent
bjxbbkjtzf.png,Scentless Mayweed
bkdiimrbog.png,Common Chickweed
bkurymdjwx.png,Fat Hen
blawhtzbkl.png,Small-flowered Cranesbill
bmexokzdku.png,Shepherds Purse
bmnibdyyfk.png,Charlock
bmxnwdxhtf.png,Fat Hen
bnwrcttxui.png,Charlock
bodktpofui.png,Fat Hen
bohwrtotyd.png,Shepherds Purse
bonwrhwqzu.png,Shepherds Purse
botgaoqlhz.png,Charlock
bpdklhvrdv.png,Charlock
bpiowrlyuk.png,Charlock
bpnwtimzoh.png,Charlock
bptnacusgf.png,Sugar beet
bqwpelrswg.png,Scentless Mayweed
btlslxrnzh.png,Scentless Mayweed
bucgtendtp.png,Common Chickweed
bugmoniqro.png,Loose Silky-bent
bvaepccduw.png,Black-grass
bvllicbmwn.png,Common Chickweed
bvwqsltone.png,Maize
bwjkzqwkiz.png,Small-flowered Cranesbill
bxgugjfoqb.png,Loose Silky-bent
bxrgvlrzfv.png,Black-grass
byagcjezqs.png,Fat Hen
byqyorfxjy.png,Common Chickweed
bzpnvkrxxh.png,Common Chickweed
bzsujvsrbn.png,Small-flowered Cranesbill
cadqtheeap.png,Small-flowered Cranesbill
cafwtgkwwd.png,Common Chickweed
cavaxqdjkv.png,Common Chickweed
cbjbelhzxs.png,Sugar beet
ccemgegoar.png,Shepherds Purse
ccsndfakoa.png,Scentless Mayweed
ceehepthvf.png,Fat Hen
centurrxas.png,Common wheat
cfmhcfnrrc.png,Small-flowered Cranesbill
cfphohwtfl.png,Fat Hen
cfxlyqidxk.png,Fat Hen
cgkpwstkhy.png,Scentless Mayweed
cgujptuaec.png,Loose Silky-bent
chudzdncwx.png,Charlock
cibarnmyim.png,Fat Hen
cjmtjcguws.png,Common Chickweed
ckmlldcyfh.png,Cleavers
clpvobtxua.png,Common Chickweed
cmfxlbnrbp.png,Loose Silky-bent
cmgnglzbdi.png,Loose Silky-bent
cmubjxlumd.png,Loose Silky-bent
cnheaqhxqt.png,Sugar beet
coklvdvalj.png,Scentless Mayweed
copzwrcqpp.png,Black-grass
cownjigkag.png,Common Chickweed
cpdaywyjlt.png,Small-flowered Cranesbill
crasnqacjq.png,Charlock
crthrhpzks.png,Shepherds Purse
crwutewiyy.png,Fat Hen
csltqxcxhc.png,Fat Hen
cslwurbopz.png,Loose Silky-bent
cswnxfyayo.png,Charlock
cszvtqcjyf.png,Black-grass
cumghitpch.png,Cleavers
cvceaeclxq.png,Cleavers
cvzjjgusqp.png,Scentless Mayweed
cwkqmqieko.png,Scentless Mayweed
cyhzdetrjc.png,Common Chickweed
cyioquzwie.png,Charlock
czjycoucuh.png,Loose Silky-bent
czqceknzzn.png,Small-flowered Cranesbill
czrhjufatu.png,Sugar beet
czuxqebdpa.png,Scentless Mayweed
czwwjxdtup.png,Common wheat
dalbpmjlcq.png,Shepherds Purse
dantaresqw.png,Loose Silky-bent
daqlrwqztx.png,Charlock
dckfmdcvny.png,Scentless Mayweed
dcujdmvsic.png,Scentless Mayweed
dcxtwnmidn.png,Charlock
ddzctuymwa.png,Scentless Mayweed
depxarnjzf.png,Common Chickweed
detluoasgf.png,Loose Silky-bent
deutltmdxu.png,Small-flowered Cranesbill
deykqurmey.png,Shepherds Purse
dfgbjqnati.png,Scentless Mayweed
dfnizxzogj.png,Maize
dfyafvyugj.png,Common Chickweed
dgwttioqjd.png,Small-flowered Cranesbill
dhrsspucoq.png,Fat Hen
dhuxgfcbyw.png,Common wheat
diahjfbwuw.png,Common Chickweed
dihkgjbyfq.png,Small-flowered Cranesbill
dipapohctg.png,Common wheat
dislfovkhp.png,Scentless Mayweed
djapaqxrdz.png,Small-flowered Cranesbill
djbqvpqwmy.png,Small-flowered Cranesbill
dkjueiawvv.png,Shepherds Purse
dkkudibscv.png,Scentless Mayweed
dmavvtqoxt.png,Common wheat
dmetyfrsin.png,Charlock
dnbibfgxoh.png,Loose Silky-bent
dnihsymvet.png,Fat Hen
dnjoxrxtge.png,Maize
dnqcuwdaau.png,Scentless Mayweed
dpbaejlfvz.png,Common Chickweed
dpfrrbbhlp.png,Loose Silky-bent
drjoqyztny.png,Loose Silky-bent
drzdqzpgwe.png,Fat Hen
dtabkfemaz.png,Loose Silky-bent
dtdslbefyx.png,Loose Silky-bent
dtenzbgtlg.png,Loose Silky-bent
dttnjjxtfm.png,Common Chickweed
duiozdukjz.png,Common Chickweed
duyoxnkdrl.png,Maize
dvaoogwhlt.png,Common wheat
dvbgumymol.png,Charlock
dwpvnaiokv.png,Scentless Mayweed
dwvmhayqzz.png,Common Chickweed
dxwxzokznk.png,Scentless Mayweed
dzkrgaxegx.png,Loose Silky-bent
eabllpbdcw.png,Sugar beet
eadxdusxjp.png,Charlock
eafcccjbiv.png,Loose Silky-bent
eagfuxablh.png,Charlock
echmvoruiz.png,Fat Hen
ectziftnbc.png,Common Chickweed
ecwaapaqya.png,Small-flowered Cranesbill
edcfbfcdoq.png,Charlock
edtmtjejyj.png,Cleavers
eebwxjxkmu.png,Common Chickweed
efamlmifzi.png,Black-grass
egorseowki.png,Common Chickweed
egpzdxqvpd.png,Scentless Mayweed
ehnpsbyzwy.png,Fat Hen
ehukpgpqcg.png,Sugar beet
ehzlysyhtf.png,Common Chickweed
eijwnoupem.png,Cleavers
eiubciyjvy.png,Fat Hen
eivyqukhbm.png,Scentless Mayweed
ejnnlqyghc.png,Charlock
ejtlwirher.png,Sugar beet
ekhgcopiiq.png,Loose Silky-bent
emozivmywz.png,Common Chickweed
eneslicrsf.png,Loose Silky-bent
enwuvwyixl.png,Small-flowered Cranesbill
eobjnoijsr.png,Cleavers
eogqrwbeca.png,Charlock
eoonmblmys.png,Loose Silky-bent
eowsgqobdh.png,Cleavers
eoyrxlbjtu.png,Common Chickweed
epcnkrotto.png,Scentless Mayweed
epquxioidk.png,Small-flowered Cranesbill
epubyfhazx.png,Fat Hen
eqepsdeimh.png,Scentless Mayweed
ervfcpakvi.png,Small-flowered Cranesbill
esbjivorqr.png,Charlock
esqiikafkg.png,Sugar beet
esseaopzne.png,Fat Hen
etjuirhexq.png,Fat Hen
ewrutrigoj.png,Charlock
ewyctucfck.png,Scentless Mayweed
exjykmzesb.png,Maize
exlgqpiphb.png,Fat Hen
ezbxexkmav.png,Shepherds Purse
ezpkesdmgh.png,Cleavers
ezskvigszp.png,Maize
ezwluosmlg.png,Maize
fbcoeikpdj.png,Charlock
fbesmagcov.png,Loose Silky-bent
